Code_of_the_sample,Identifier_of_the_sample,Dates_of_the_activity_measurements,Sampling_area_m2,The_top_border_of_a_layer_cm,The_bottom_border_of_a_layer_cm,Mass_of_the_layer_kg,Activity_concentration_137Cs_Bqkg,Relative_uncertainty_of_specific_activity_of_137Cs_%,Activity_concentration_90Sr_Bqkg,Relative_uncertainty_of_specific_activity_of_90Sr_%,Activity_concentration_238Pu_Bqkg,Relative_uncertainty_of_specific_activity_of_238Pu_%,Activity_concentration_239_240Pu_Bqkg,Relative_uncertainty_of_specific_activity_of_239_240Pu_%
1269,1P_J,17-Dec-00,9.81E-03,0,2,9.60E-02,4.80E+04,6,2.70E+02,7,9.80E-01,29,2.35E+00,19
1269,1P_J,17-Dec-00,9.81E-03,2,4,1.46E-01,2.90E+04,6,1.26E+02,12,5.50E-01,24,1.69E+00,21
1269,1P_J,17-Dec-00,9.81E-03,4,6,2.17E-01,8.10E+03,7,7.90E+01,15,1.80E-01,22,1.15E+00,21
1269,1P_J,17-Dec-00,9.81E-03,6,8,2.72E-01,2.40E+03,7,5.00E+01,18,9.00E-02,28,6.20E-01,19
1269,1P_J,17-Dec-00,9.81E-03,8,10,1.93E-01,1.21E+03,8,3.90E+01,15,4.00E-02,25,3.40E-01,15
1269,1P_J,17-Dec-00,9.81E-03,10,15,7.26E-01,3.70E+02,8,3.70E+01,16,5.70E-02,32,2.20E-01,20
1269,1P_J,17-Dec-00,9.81E-03,15,20,8.12E-01,1.80E+02,11,1.40E+01,17,4.40E-02,14,1.30E-01,19
1269,1P_J,17-Dec-00,9.81E-03,20,25,7.88E-01,1.34E+03,8,1.10E+01,20,3.00E-02,33,1.50E-01,23
1269,1P_J,17-Dec-00,9.81E-03,25,30,7.36E-01,3.70E+01,19,2.90E+00,31,1.20E-02,33,6.00E-02,33
1270,3P_J,17-Dec-00,9.81E-03,0,2,1.80E-01,1.17E+03,6,1.00E+01,12,1.70E-01,24,1.14E+00,23
1270,3P_J,17-Dec-00,9.81E-03,2,4,2.67E-01,2.40E+02,8,4.00E+00,20,2.80E-02,29,5.10E-01,24
1270,3P_J,17-Dec-00,9.81E-03,4,6,2.97E-01,1.20E+02,8,3.20E+00,25,1.60E-02,31,2.00E-01,23
1270,3P_J,17-Dec-00,9.81E-03,6,8,2.80E-01,7.00E+01,9,2.40E+00,29,7.00E-03,57,1.00E-01,35
1270,3P_J,17-Dec-00,9.81E-03,8,10,2.90E-01,4.10E+01,15,2.60E+00,31,9.00E-03,44,8.00E-02,23
1270,3P_J,17-Dec-00,9.81E-03,10,15,7.32E-01,3.60E+01,11,2.30E+00,39,1.10E-02,55,5.00E-02,40
1270,3P_J,17-Dec-00,9.81E-03,15,20,8.20E-01,2.50E+01,16,3.80E+00,18,5.00E-03,80,4.10E-02,32
1270,3P_J,17-Dec-00,9.81E-03,20,25,7.76E-01,1.00E+01,40,1.70E+00,41,8.00E-03,63,2.20E-02,32
1270,3P_J,17-Dec-00,9.81E-03,25,30,6.90E-01,1.30E+01,31,3.10E+00,23,1.90E-02,32,4.90E-02,20
1271,5P_J,17-Dec-00,9.81E-03,0,2,1.97E-01,8.40E+02,10,1.60E+01,14,1.00E-01,25,5.90E-01,20
1271,5P_J,17-Dec-00,9.81E-03,2,4,2.42E-01,6.10E+02,8,7.30E+00,22,7.00E-02,43,5.60E-01,27
1271,5P_J,17-Dec-00,9.81E-03,4,6,2.62E-01,4.00E+02,8,5.10E+00,20,6.00E-02,30,5.00E-01,26
1271,5P_J,17-Dec-00,9.81E-03,6,8,2.66E-01,2.90E+02,7,4.50E+00,20,5.00E-02,40,3.20E-01,25
1271,5P_J,17-Dec-00,9.81E-03,8,10,2.66E-01,7.00E+01,14,4.50E+00,20,1.10E-02,36,2.30E-01,20
1271,5P_J,17-Dec-00,9.81E-03,10,15,6.82E-01,2.90E+01,21,3.40E+00,26,8.00E-03,50,9.00E-02,28
1271,5P_J,17-Dec-00,9.81E-03,15,20,8.23E-01,2.00E+00,40,3.10E+00,29,5.00E-03,80,6.00E-02,33
1271,5P_J,17-Dec-00,9.81E-03,20,25,7.27E-01,1.00E+01,40,2.90E+00,31,1.20E-02,33,7.00E-02,29
1271,5P_J,17-Dec-00,9.81E-03,25,30,7.55E-01,4.00E+00,50,2.20E+00,36,2.50E-02,44,5.00E-02,30
1272,7P_J,23-Dec-00,9.81E-03,0,2,1.74E-01,2.10E+02,7,2.90E+01,17,1.40E-01,29,3.90E-01,15
1272,7P_J,23-Dec-00,9.81E-03,2,4,2.22E-01,1.20E+02,12,1.80E+01,22,7.00E-02,71,4.30E-01,26
1272,7P_J,23-Dec-00,9.81E-03,4,6,3.69E-01,1.20E+03,11,1.90E+01,21,1.40E-01,36,6.80E-01,16
1272,7P_J,23-Dec-00,9.81E-03,6,8,2.86E-01,5.20E+01,13,3.00E+00,33,5.00E-02,60,5.00E-01,24
1272,7P_J,23-Dec-00,9.81E-03,8,10,2.86E-01,3.00E+01,13,3.50E+00,26,5.00E-02,40,4.90E-01,14
1272,7P_J,23-Dec-00,9.81E-03,10,15,6.88E-01,1.40E+01,36,3.70E+00,24,7.00E-02,29,4.80E-01,17
1272,7P_J,23-Dec-00,9.81E-03,15,20,7.76E-01,9.00E+00,33,1.21E+01,17,4.30E-02,26,2.30E-01,9
1272,7P_J,23-Dec-00,9.81E-03,20,25,8.20E-01,6.00E+00,50,6.30E+00,29,1.30E-02,38,1.03E-01,11
1272,7P_J,23-Dec-00,9.81E-03,25,30,8.32E-01,2.00E+00,50,9.80E+00,20,4.00E-02,25,2.10E-01,10
1273,9P_J,23-Dec-00,9.81E-03,0,2,2.34E-01,3.10E+02,5,5.10E+00,20,4.60E-02,24,2.80E-01,21
1273,9P_J,23-Dec-00,9.81E-03,2,4,2.56E-01,3.60E+02,6,4.60E+00,24,4.80E-02,27,2.60E-01,15
1273,9P_J,23-Dec-00,9.81E-03,4,6,2.92E-01,2.20E+02,5,3.30E+00,30,3.40E-02,29,2.70E-01,11
1273,9P_J,23-Dec-00,9.81E-03,6,8,3.00E-01,1.70E+02,9,7.00E+00,19,3.40E-02,41,3.40E-01,21
1273,9P_J,23-Dec-00,9.81E-03,8,10,2.82E-01,9.80E+01,11,5.30E+00,21,2.30E-02,35,2.70E-01,15
1273,9P_J,23-Dec-00,9.81E-03,10,15,7.00E-01,6.40E+01,13,4.50E+00,22,2.60E-02,23,2.70E-01,11
1273,9P_J,23-Dec-00,9.81E-03,15,20,7.24E-01,2.60E+01,19,2.80E+00,29,1.00E-02,40,2.00E-01,13
1273,9P_J,23-Dec-00,9.81E-03,20,25,7.68E-01,1.40E+01,21,1.50E+00,40,7.00E-03,43,1.20E-01,13
1273,9P_J,23-Dec-00,9.81E-03,25,30,7.98E-01,8.00E+00,38,1.60E+00,38,5.00E-03,60,3.20E-02,31
1274,14P_J,23-Dec-00,9.81E-03,0,2,9.70E-02,9.20E+03,7,2.74E+03,18,2.47E+01,17,5.72E+01,16
1274,14P_J,23-Dec-00,9.81E-03,2,4,1.70E-01,1.29E+03,10,1.10E+03,16,9.90E+00,17,1.79E+01,15
1274,14P_J,23-Dec-00,9.81E-03,4,6,2.48E-01,5.30E+01,19,1.60E+02,16,1.40E-01,29,4.60E-01,26
1274,14P_J,23-Dec-00,9.81E-03,6,8,2.76E-01,3.30E+01,18,7.10E+01,15,4.30E-02,26,2.50E-01,32
1274,14P_J,23-Dec-00,9.81E-03,8,10,2.96E-01,1.10E+01,36,4.30E+01,16,3.60E-02,28,1.50E-01,30
1274,14P_J,23-Dec-00,9.81E-03,10,15,7.74E-01,4.00E+00,50,1.70E+01,18,1.20E-02,50,1.30E-01,31
1274,14P_J,23-Dec-00,9.81E-03,15,20,8.40E-01,4.00E+00,50,6.50E+00,28,1.30E-02,46,2.60E-02,38
1274,14P_J,23-Dec-00,9.81E-03,20,25,8.64E-01,,,2.70E+00,44,9.00E-03,56,1.20E-02,50
1274,14P_J,23-Dec-00,9.81E-03,25,30,8.52E-01,,,1.20E+00,58,4.00E-03,75,5.00E-03,60
1275,15P_J,23-Dec-00,9.81E-03,0,2,1.14E-01,2.63E+03,12,5.80E+02,16,3.95E+00,20,1.10E+01,23
1275,15P_J,23-Dec-00,9.81E-03,2,4,1.51E-01,2.07E+03,11,4.00E+02,20,3.33E+00,21,6.32E+00,19
1275,15P_J,23-Dec-00,9.81E-03,4,6,1.73E-01,1.16E+03,8,3.27E+02,20,2.55E+00,25,4.90E+00,23
1275,15P_J,23-Dec-00,9.81E-03,6,8,1.85E-01,6.50E+02,14,4.15E+02,17,3.13E+00,23,1.03E+01,23
1275,15P_J,23-Dec-00,9.81E-03,8,10,1.76E-01,1.55E+02,13,6.00E+01,17,1.00E-01,25,7.50E-01,25
1275,15P_J,23-Dec-00,9.81E-03,10,15,4.23E-01,7.90E+01,8,6.10E+01,16,5.80E-01,29,1.50E+00,21
1275,15P_J,23-Dec-00,9.81E-03,15,20,3.50E-01,4.20E+01,7,8.10E+00,25,3.00E-02,33,4.80E-01,25
1275,15P_J,23-Dec-00,9.81E-03,20,25,3.36E-01,2.40E+01,8,5.80E+00,31,1.60E-01,69,3.90E-01,44
1275,15P_J,23-Dec-00,9.81E-03,25,30,3.48E-01,8.00E+00,13,2.80E+00,54,4.00E-02,25,9.00E-02,22
1276,16P_J,27-Dec-00,9.81E-03,0,2,6.40E-02,6.80E+02,10,1.70E+02,12,1.56E+00,22,5.16E+00,21
1276,16P_J,27-Dec-00,9.81E-03,2,4,1.01E-01,6.90E+02,9,1.70E+02,12,2.30E+00,19,5.71E+00,17
1276,16P_J,27-Dec-00,9.81E-03,4,6,1.42E-01,5.20E+02,8,1.30E+02,13,2.53E+00,16,1.32E+01,20
1276,16P_J,27-Dec-00,9.81E-03,6,8,1.48E-01,1.60E+02,13,1.07E+02,11,4.70E-01,23,1.12E+00,19
1276,16P_J,27-Dec-00,9.81E-03,8,10,1.92E-01,1.10E+02,18,4.60E+01,15,2.50E-01,24,1.54E+00,17
1276,16P_J,27-Dec-00,9.81E-03,10,15,4.13E-01,5.00E+01,20,2.10E+01,14,1.60E-01,28,1.13E+00,19
1276,16P_J,27-Dec-00,9.81E-03,15,20,3.40E-01,3.90E+01,23,1.00E+01,20,1.10E-01,27,4.70E-01,28
1276,16P_J,27-Dec-00,9.81E-03,20,25,5.49E-01,2.80E+01,18,7.00E+00,29,1.70E-01,29,1.29E+00,15
1276,16P_J,27-Dec-00,9.81E-03,25,30,7.74E-01,1.10E+01,36,3.00E+00,33,6.00E-02,25,4.10E-01,22
1312,1_J_w,01-Jan-02,,0,10,,6.94E+04,4,7.50E+03,3,4.50E+02,5,1.10E+03,5
1312,1_J_w,01-Jan-02,,10,20,,4.10E+03,5,1.40E+03,6,7.50E+01,5,1.70E+02,5
1312,1_J_w,01-Jan-02,,20,30,,2.10E+02,10,3.20E+03,5,2.90E+00,5,6.80E+00,5
1312,1_J_w,01-Jan-02,,30,40,,2.80E+01,26,2.80E+03,5,5.10E-01,13,8.60E-01,11
1312,1_J_w,01-Jan-02,,40,50,,1.80E+01,23,5.20E+03,4,2.70E-01,14,5.50E-01,11
1312,1_J_w,01-Jan-02,,50,60,,2.00E+00,80,1.30E+04,3,5.00E-02,24,1.40E-01,14
1312,1_J_w,01-Jan-02,,60,70,,9.00E+00,44,4.20E+03,3,5.90E-01,7,1.20E+00,6
1312,1_J_w,01-Jan-02,,70,80,,7.00E+00,24,2.40E+02,10,1.80E-01,12,5.30E-01,9
1312,1_J_w,01-Jan-02,,80,90,,1.10E+01,46,2.50E+01,50,1.70E-01,9,3.70E-01,7
1312,1_J_w,01-Jan-02,,90,100,,5.00E+00,26,1.50E+01,60,5.40E-01,9,1.20E+00,8
1312,1_J_w,01-Jan-02,,100,110,,1.10E+01,43,3.60E+01,40,1.80E-01,13,3.50E-01,9
